n;Singly(µs);Doubly(µs);Array(µs)
5000;104271;90035;30676
10000;368161;360410;118433
15000;1020065;970761;265529
20000;2054601;2094759;482545
25000;3382468;3417307;772246
30000;5022698;4924039;1082021
35000;7547343;7400377;1508172
40000;10510121;10316346;2128955
45000;16703250;15897155;2654545
50000;21310008;21092583;3333253
