n;Singly(µs);Doubly(µs);Array(µs)
5000;22854;18345;1894
10000;90783;87478;10846
15000;199840;208524;18531
20000;408695;403874;33393
25000;705737;708006;51353
30000;1103273;1094234;76794
35000;1537888;1604133;109897
40000;2225604;2238888;135388
45000;2943778;2926165;178914
50000;3833935;3874518;242532
